ID_Reserva,Edad,Genero,Pais,Hotel,Tipo_Habitacion,Regimen,Canal_Reserva,Lead_Time_Dias,Mes_Llegada,Noches,Adultos,Ninos,Precio_Noche_EUR,Reservas_Previas,Cancelaciones_Previas,Tiene_Parking,Peticiones_Especiales,Tipo_Deposito,Cancelado
100053,18.0,Male,EEUU,Palladium Riviera Maya,Standard,Desayuno,Teléfono,68.0,7,1,1,0,94.34,0,0,No,2.0,,0
100054,49.0,Female,Italia,Palladium Riviera Maya,Junior Suite,Todo incluido,Agencia tradicional,,5,6,2,0,212.79,2,0,No,,Reembolsable,0
100055,18.0,Female,Reino Unido,Palladium Ibiza,Suite,Solo alojamiento,Web directa,34.0,5,3,2,1,417.21,1,0,No,0.0,Sin depósito,0
100056,49.0,Male,Francia,Palladium Riviera Maya,Standard,Todo incluido,Agencia online,24.0,2,6,2,0,115.72,0,0,No,1.0,Sin depósito,0
100057,54.0,Female,España,Palladium Costa Mujeres,Suite,Solo alojamiento,Agencia online,39.0,1,4,2,2,412.23,1,1,No,1.0,Sin depósito,0
100058,29.0,Male,Reino Unido,Palladium Tenerife,Suite,Desayuno,Web directa,311.0,2,4,2,0,367.22,4,1,Sí,4.0,Sin depósito,0
100059,49.0,Male,EEUU,Palladium Riviera Maya,Junior Suite,Todo incluido,Web directa,23.0,7,4,4,3,257.87,1,0,No,0.0,Reembolsable,0
100060,51.0,Male,Francia,Palladium Mallorca,Suite,Todo incluido,Web directa,57.0,1,4,2,0,384.79,0,0,No,1.0,Reembolsable,1
100061,,Female,Italia,Palladium Tenerife,Junior Suite,Todo incluido,Web directa,138.0,7,6,2,1,194.54,2,1,No,0.0,Sin depósito,1
100062,,Female,España,Palladium Ibiza,Standard,Desayuno,Web directa,204.0,5,3,3,0,143.2,0,0,Sí,2.0,Sin depósito,0
100063,47.0,Female,Portugal,Palladium Riviera Maya,Junior Suite,Media pensión,Web directa,68.0,8,3,2,1,199.52,1,0,Sí,1.0,Reembolsable,0
100064,45.0,Male,EEUU,Palladium Tenerife,Villa,Todo incluido,Teléfono,27.0,7,5,2,2,724.75,1,0,No,0.0,No reembolsable,0
100065,32.0,Male,Reino Unido,Palladium Mallorca,Standard,Media pensión,Teléfono,33.0,7,2,1,0,120.14,9,4,No,1.0,Reembolsable,0
100066,35.0,Male,Reino Unido,Palladium Tenerife,Suite,Media pensión,Web directa,19.0,2,14,2,2,367.56,2,0,No,0.0,Sin depósito,0
100067,50.0,Female,Alemania,Palladium Ibiza,Standard,Todo incluido,Web directa,86.0,8,4,2,0,121.32,3,0,No,0.0,Sin depósito,0
100068,35.0,Female,España,Palladium Riviera Maya,Standard,Desayuno,Web directa,94.0,1,5,2,1,127.66,2,1,Sí,0.0,Reembolsable,0
100069,48.0,Female,,Palladium Mallorca,Standard,Desayuno,Web directa,48.0,9,6,2,0,146.13,1,0,No,0.0,Reembolsable,0
100070,,Male,Reino Unido,Palladium Costa Mujeres,Suite,Desayuno,Web directa,16.0,5,6,2,0,387.19,2,1,No,1.0,Sin depósito,0
100071,39.0,Female,Italia,Palladium Riviera Maya,Junior Suite,Solo alojamiento,Web directa,9.0,8,2,2,0,256.01,1,0,No,1.0,Sin depósito,0
100072,43.0,Male,España,Palladium Riviera Maya,Standard,Desayuno,Web directa,36.0,8,4,2,0,73.97,3,0,No,4.0,Sin depósito,0
100073,46.0,Female,Alemania,Palladium Riviera Maya,Standard,Desayuno,Agencia online,74.0,8,5,2,0,117.93,2,0,No,0.0,,0
100074,,Male,México,Palladium Ibiza,Suite,Todo incluido,Web directa,57.0,7,4,1,1,337.33,2,0,Sí,0.0,No reembolsable,0
100075,44.0,Female,México,Palladium Ibiza,Suite,Todo incluido,Agencia tradicional,69.0,5,7,1,0,12000.0,1,0,No,3.0,Sin depósito,0
100076,51.0,Male,España,Palladium Costa Mujeres,Standard,Solo alojamiento,Web directa,20.0,12,4,4,0,123.02,2,0,Sí,2.0,No reembolsable,0
100077,40.0,Male,EEUU,Palladium Tenerife,Suite,Todo incluido,Agencia online,52.0,6,4,1,1,391.87,2,1,Sí,3.0,Sin depósito,0
100078,45.0,Male,España,Palladium Ibiza,Standard,Media pensión,Web directa,4.0,8,4,2,0,126.02,2,1,No,0.0,Sin depósito,0
100079,40.0,Male,Italia,Palladium Riviera Maya,Standard,Desayuno,Agencia tradicional,38.0,11,4,2,0,136.35,0,0,Sí,1.0,Reembolsable,1
100080,47.0,Male,España,Palladium Punta Cana,Standard,Desayuno,Web directa,77.0,8,3,2,0,106.14,2,0,Sí,0.0,Sin depósito,1
100081,41.0,Female,Italia,Palladium Punta Cana,Standard,Media pensión,Agencia tradicional,64.0,1,3,2,0,114.9,2,0,Sí,0.0,Sin depósito,0
100082,51.0,Female,EEUU,Palladium Riviera Maya,Standard,Media pensión,Web directa,,8,2,2,0,150.3,3,1,No,4.0,No reembolsable,0
100083,57.0,Male,,Palladium Ibiza,Junior Suite,Media pensión,Agencia online,65.0,6,3,1,0,265.03,1,0,Sí,2.0,Sin depósito,0
100084,24.0,Female,Países Bajos,Palladium Ibiza,Standard,Todo incluido,Agencia online,25.0,5,3,2,0,114.08,2,1,No,0.0,Sin depósito,0
100085,60.0,Male,España,Palladium Riviera Maya,Standard,Todo incluido,Agencia tradicional,111.0,4,6,2,2,131.48,3,1,No,0.0,Reembolsable,0
100086,58.0,Female,México,Palladium Ibiza,Standard,Todo incluido,Agencia online,386.0,8,2,2,0,154.83,1,1,Sí,0.0,Reembolsable,1
100087,32.0,Female,España,Palladium Tenerife,Junior Suite,Desayuno,Agencia online,7.0,8,5,2,2,,4,2,Sí,0.0,Sin depósito,1
100088,73.0,Female,EEUU,Palladium Riviera Maya,Standard,Media pensión,Agencia online,5.0,8,5,2,2,80.76,0,0,No,1.0,Sin depósito,0
100089,45.0,Female,Países Bajos,Palladium Mallorca,Standard,Todo incluido,Agencia tradicional,55.0,1,7,2,0,173.14,0,0,Sí,4.0,Sin depósito,0
100090,49.0,Female,Alemania,Palladium Costa Mujeres,Standard,Todo incluido,Web directa,41.0,8,3,1,3,129.28,4,0,No,0.0,Sin depósito,1
100091,64.0,Female,Reino Unido,Palladium Riviera Maya,Junior Suite,Todo incluido,Web directa,35.0,7,2,2,0,225.86,1,0,No,0.0,,0
100092,34.0,Male,Países Bajos,Palladium Mallorca,Standard,Desayuno,Web directa,137.0,3,1,2,0,163.86,0,0,No,0.0,Sin depósito,0
100093,28.0,Female,España,Palladium Punta Cana,Junior Suite,Desayuno,Web directa,21.0,6,10,2,1,206.51,3,1,,,No reembolsable,0
100094,38.0,Male,EEUU,Palladium Mallorca,Standard,Media pensión,Web directa,92.0,9,5,2,0,105.26,1,0,Sí,1.0,,0
100095,44.0,Female,Reino Unido,Palladium Riviera Maya,Standard,Todo incluido,Agencia tradicional,13.0,11,5,2,2,90.08,3,0,No,0.0,Sin depósito,0
100096,47.0,Male,Reino Unido,Palladium Mallorca,Standard,Desayuno,Web directa,308.0,9,7,2,0,,3,0,Sí,0.0,Reembolsable,0
100097,51.0,Male,España,Palladium Punta Cana,Suite,Todo incluido,Agencia tradicional,21.0,7,6,1,0,401.93,1,0,No,2.0,No reembolsable,1
100098,64.0,Male,Países Bajos,Palladium Mallorca,Junior Suite,Todo incluido,Agencia tradicional,70.0,6,10,2,0,236.97,1,1,No,2.0,Reembolsable,0
100099,32.0,Male,España,Palladium Mallorca,Standard,Todo incluido,Agencia online,44.0,3,3,2,0,179.34,3,0,No,0.0,Reembolsable,0
100100,26.0,Female,España,Palladium Tenerife,Junior Suite,Desayuno,Agencia online,10.0,9,4,2,0,193.73,1,0,No,0.0,Reembolsable,0
100101,46.0,Female,España,Palladium Costa Mujeres,Standard,Media pensión,Web directa,22.0,8,2,2,0,124.85,0,0,No,0.0,Sin depósito,0
100102,42.0,Male,Francia,Palladium Punta Cana,Junior Suite,Media pensión,Web directa,135.0,4,5,1,0,,1,0,No,2.0,No reembolsable,0
100103,41.0,Female,,Palladium Ibiza,Villa,Todo incluido,Web directa,27.0,1,5,2,0,729.2,1,0,Sí,0.0,,0
100104,24.0,Female,México,Palladium Tenerife,Suite,Desayuno,Walk-in,,5,3,2,0,405.72,3,0,No,0.0,Sin depósito,1
100105,51.0,male,Francia,Palladium Ibiza,Junior Suite,Todo incluido,Web directa,97.0,7,2,2,0,250.98,0,0,No,0.0,Sin depósito,0
100106,51.0,male,Reino Unido,Palladium Punta Cana,Standard,Desayuno,Agencia online,172.0,8,7,2,1,102.09,1,1,Sí,1.0,Sin depósito,0
100107,38.0,Female,Italia,Palladium Costa Mujeres,Standard,Desayuno,Web directa,15.0,6,7,2,2,100.26,1,0,No,0.0,Sin depósito,1
100108,77.0,Male,España,Palladium Punta Cana,Standard,Desayuno,Agencia tradicional,119.0,5,5,2,0,115.52,0,0,No,0.0,Sin depósito,1
100109,27.0,Female,Alemania,Palladium Riviera Maya,Standard,Media pensión,Web directa,24.0,3,6,2,1,,1,0,No,2.0,Reembolsable,0
100110,55.0,Female,Alemania,Palladium Costa Mujeres,Standard,Todo incluido,Agencia online,37.0,8,4,2,0,87.62,3,2,No,5.0,Reembolsable,0
100111,35.0,Female,,Palladium Riviera Maya,Standard,Solo alojamiento,Web directa,40.0,8,5,1,0,144.37,1,0,No,2.0,No reembolsable,0
100112,31.0,Female,Reino Unido,Palladium Punta Cana,Standard,Desayuno,Teléfono,159.0,3,5,2,2,104.68,1,0,No,0.0,Reembolsable,0
100113,27.0,Male,Países Bajos,Palladium Punta Cana,Standard,Media pensión,Web directa,72.0,11,7,4,2,124.45,4,1,Sí,2.0,Sin depósito,0
100114,55.0,Male,España,Palladium Mallorca,Suite,Media pensión,Web directa,6.0,1,3,2,0,365.37,1,1,No,0.0,Sin depósito,1
100115,34.0,Male,Reino Unido,Palladium Punta Cana,Villa,Media pensión,Web directa,,7,4,2,1,739.29,5,2,No,0.0,Sin depósito,1
100116,36.0,Female,Italia,Palladium Ibiza,Suite,Media pensión,Agencia tradicional,25.0,6,6,2,2,379.67,0,0,No,3.0,Sin depósito,0
100117,37.0,Male,EEUU,Palladium Punta Cana,Villa,Todo incluido,Agencia tradicional,12.0,6,2,3,0,773.34,1,0,No,0.0,Sin depósito,0
100118,48.0,Female,España,Palladium Ibiza,Villa,Todo incluido,Agencia tradicional,219.0,10,3,4,2,792.29,1,0,Sí,0.0,Reembolsable,0
100119,57.0,Male,Reino Unido,Palladium Costa Mujeres,Villa,Desayuno,Web directa,48.0,7,7,2,0,749.48,1,1,No,0.0,Reembolsable,0
100120,47.0,Male,EEUU,Palladium Riviera Maya,Standard,Desayuno,Web directa,49.0,7,14,2,0,105.04,3,1,No,3.0,Reembolsable,0
100121,59.0,Male,Reino Unido,Palladium Riviera Maya,Standard,Solo alojamiento,Web directa,46.0,7,5,4,2,118.84,4,0,No,1.0,Sin depósito,1
100122,60.0,Male,Francia,Palladium Mallorca,Standard,Solo alojamiento,Walk-in,17.0,6,7,2,2,111.55,0,0,No,1.0,Sin depósito,0
100123,37.0,Male,España,Palladium Riviera Maya,Standard,Desayuno,Agencia online,48.0,2,10,1,0,79.21,3,2,No,0.0,Sin depósito,0
100124,47.0,Male,Países Bajos,Palladium Punta Cana,Junior Suite,Desayuno,Agencia tradicional,43.0,8,3,1,1,195.55,2,0,No,,No reembolsable,0
100125,54.0,Male,EEUU,Palladium Ibiza,Standard,Todo incluido,Agencia online,17.0,7,4,2,0,163.39,2,0,No,1.0,Sin depósito,1
100126,52.0,Female,España,Palladium Costa Mujeres,Standard,Solo alojamiento,Agencia tradicional,20.0,9,3,3,3,131.77,0,0,No,0.0,Sin depósito,0
100127,44.0,Female,EEUU,Palladium Ibiza,Standard,Desayuno,Agencia online,34.0,12,2,2,1,121.8,2,1,Sí,0.0,No reembolsable,0
100128,63.0,Male,España,Palladium Punta Cana,Suite,Media pensión,Web directa,0.0,7,4,2,0,412.15,4,1,,0.0,No reembolsable,0
100129,40.0,Female,Países Bajos,Palladium Riviera Maya,Junior Suite,Media pensión,Web directa,170.0,7,5,2,0,223.26,2,1,No,0.0,No reembolsable,1
100130,40.0,Female,EEUU,Palladium Punta Cana,Villa,Desayuno,Walk-in,3.0,6,4,2,2,,0,0,No,1.0,Sin depósito,1
100131,48.0,Female,España,Palladium Ibiza,Junior Suite,Todo incluido,Agencia tradicional,10.0,9,3,1,1,298.3,2,0,No,0.0,Sin depósito,0
100132,41.0,Male,México,Palladium Mallorca,Villa,Desayuno,Agencia online,103.0,4,1,2,1,705.55,1,0,No,1.0,Reembolsable,0
100133,30.0,Female,Alemania,Palladium Riviera Maya,Standard,Todo incluido,Agencia tradicional,,3,10,2,0,138.86,1,0,Sí,2.0,Sin depósito,0
100134,57.0,Female,Alemania,Palladium Tenerife,Standard,Media pensión,Teléfono,8.0,8,3,1,0,127.87,0,0,Sí,0.0,Sin depósito,0
100135,44.0,Male,Reino Unido,Palladium Mallorca,Suite,Media pensión,Web directa,7.0,10,10,1,0,385.74,2,0,No,2.0,No reembolsable,0
100136,,Female,Portugal,Palladium Mallorca,Suite,Todo incluido,Agencia online,52.0,5,4,4,2,338.54,0,0,Sí,0.0,No reembolsable,1
100137,59.0,Female,Italia,Palladium Costa Mujeres,Standard,Desayuno,Web directa,110.0,8,4,1,0,120.38,0,0,No,2.0,Sin depósito,1
100138,28.0,Male,España,Palladium Punta Cana,Standard,Desayuno,Teléfono,34.0,5,3,2,2,134.8,0,0,Sí,1.0,Reembolsable,0
100139,51.0,Female,,Palladium Mallorca,Junior Suite,Solo alojamiento,Agencia online,4.0,7,5,2,0,244.51,2,1,Sí,4.0,Reembolsable,0
100140,37.0,Female,España,Palladium Ibiza,Junior Suite,Desayuno,Web directa,5.0,8,3,2,0,236.03,0,0,No,1.0,Reembolsable,0
100141,,Male,Francia,Palladium Punta Cana,Standard,Todo incluido,Web directa,95.0,5,3,4,0,140.9,2,0,No,3.0,Reembolsable,0
100142,52.0,Female,EEUU,Palladium Punta Cana,Standard,Desayuno,Web directa,3.0,6,7,2,0,156.43,0,0,Sí,0.0,No reembolsable,0
100143,34.0,Female,Italia,Palladium Riviera Maya,Standard,Desayuno,Agencia tradicional,74.0,8,2,1,0,160.16,2,0,,0.0,No reembolsable,0
100144,31.0,Female,Reino Unido,Palladium Mallorca,Junior Suite,Desayuno,Web directa,105.0,12,4,2,2,197.6,2,1,No,0.0,Sin depósito,0
100145,44.0,Male,España,Palladium Ibiza,Standard,Todo incluido,Web directa,28.0,5,6,2,0,154.12,0,0,Sí,1.0,Reembolsable,0
100146,40.0,Male,Países Bajos,Palladium Riviera Maya,Standard,Desayuno,Agencia online,107.0,9,10,2,1,75.28,3,1,No,1.0,Reembolsable,0
100147,37.0,Male,Francia,Palladium Mallorca,Junior Suite,Todo incluido,Agencia online,121.0,5,7,2,0,160.15,1,0,No,2.0,Reembolsable,0
100148,48.0,Male,Alemania,Palladium Tenerife,Junior Suite,Todo incluido,Web directa,38.0,8,5,2,0,191.41,1,0,Sí,0.0,Sin depósito,0
100149,42.0,Female,España,Palladium Punta Cana,Standard,Media pensión,Web directa,,9,4,2,0,37.96,0,0,Sí,0.0,No reembolsable,0
100150,50.0,Female,España,Palladium Punta Cana,Standard,Desayuno,Agencia tradicional,22.0,4,4,1,0,126.65,3,0,No,0.0,No reembolsable,0
100151,52.0,Male,México,Palladium Ibiza,Junior Suite,Todo incluido,Web directa,156.0,5,1,1,0,,2,0,Sí,,Sin depósito,0
100152,35.0,Female,EEUU,Palladium Riviera Maya,Junior Suite,Media pensión,Web directa,,6,6,1,0,212.3,1,0,No,2.0,Sin depósito,0
100153,37.0,Female,Francia,Palladium Tenerife,Standard,Media pensión,Agencia online,13.0,12,2,1,0,,0,0,No,2.0,Reembolsable,0
100154,48.0,Male,Francia,Palladium Riviera Maya,Junior Suite,Todo incluido,Walk-in,4.0,8,1,4,1,261.71,1,0,,1.0,Reembolsable,0
100155,47.0,Female,Reino Unido,Palladium Punta Cana,Junior Suite,Desayuno,Web directa,63.0,11,1,2,0,276.03,1,0,No,5.0,Sin depósito,0
100156,46.0,Female,España,Palladium Ibiza,Suite,Desayuno,Web directa,88.0,5,2,2,0,360.87,0,0,No,2.0,No reembolsable,0
100157,62.0,Male,Reino Unido,Palladium Costa Mujeres,Standard,Todo incluido,Web directa,20.0,2,4,2,1,143.99,1,1,No,2.0,Reembolsable,0
100158,,Male,Reino Unido,Palladium Mallorca,Junior Suite,Media pensión,Web directa,40.0,6,3,2,0,266.38,1,0,Sí,3.0,Sin depósito,0
100159,22.0,Female,,Palladium Punta Cana,Suite,Media pensión,Agencia tradicional,14.0,8,5,1,0,380.15,1,0,No,3.0,Sin depósito,0
100160,44.0,Female,España,Palladium Tenerife,Standard,Todo incluido,Web directa,26.0,5,5,1,1,106.38,1,1,No,1.0,,0
100161,41.0,Male,España,Palladium Mallorca,Standard,Media pensión,Agencia online,,6,7,2,0,135.45,1,1,No,0.0,Sin depósito,0
100162,31.0,Female,Países Bajos,Palladium Tenerife,Standard,Todo incluido,Agencia tradicional,9.0,5,10,2,1,93.96,2,0,No,0.0,,0
100163,23.0,Male,Alemania,Palladium Punta Cana,Standard,Solo alojamiento,Agencia online,85.0,12,4,2,1,153.86,1,0,Sí,0.0,,0
100164,18.0,Female,España,Palladium Mallorca,Suite,Solo alojamiento,Agencia online,68.0,1,5,2,0,443.32,2,1,No,0.0,Sin depósito,0
100165,39.0,Male,España,Palladium Costa Mujeres,Junior Suite,Todo incluido,Web directa,41.0,9,6,1,2,221.96,5,1,Sí,0.0,Sin depósito,0
100166,37.0,Female,Francia,Palladium Ibiza,Standard,Todo incluido,Web directa,10.0,3,5,1,0,,2,0,,5.0,Sin depósito,0
100167,46.0,Female,Italia,Palladium Costa Mujeres,Junior Suite,Solo alojamiento,Walk-in,15.0,8,5,2,0,240.42,3,1,No,4.0,Sin depósito,0
100168,39.0,Male,España,Palladium Riviera Maya,Standard,Solo alojamiento,Agencia tradicional,9.0,7,2,2,3,118.66,3,2,,1.0,Reembolsable,0
100169,53.0,Male,Italia,Palladium Riviera Maya,Suite,Media pensión,Web directa,203.0,12,2,2,0,394.82,2,2,Sí,0.0,No reembolsable,1
100170,,Male,España,Palladium Mallorca,Standard,Desayuno,Web directa,161.0,3,6,2,3,130.46,2,1,No,2.0,No reembolsable,1
100171,34.0,Female,Francia,Palladium Punta Cana,Standard,Desayuno,Walk-in,5.0,10,5,3,2,92.17,0,0,No,1.0,Reembolsable,0
100172,36.0,Female,EEUU,Palladium Riviera Maya,Suite,Todo incluido,Web directa,73.0,7,4,2,0,382.38,1,0,No,,Sin depósito,0
100173,60.0,Female,México,Palladium Tenerife,Standard,Solo alojamiento,Web directa,6.0,6,6,2,2,91.57,0,0,No,0.0,No reembolsable,0
100174,32.0,Male,Francia,Palladium Ibiza,Standard,Media pensión,Web directa,42.0,12,4,2,0,99.77,2,0,Sí,1.0,No reembolsable,0
100175,65.0,Female,Argentina,Palladium Mallorca,Standard,Desayuno,Agencia online,,9,7,2,0,122.34,1,0,Sí,0.0,Reembolsable,0
100176,69.0,Male,Portugal,Palladium Riviera Maya,Standard,Media pensión,Teléfono,49.0,7,5,2,1,129.61,2,0,No,2.0,Sin depósito,0
100177,38.0,Female,Reino Unido,Palladium Punta Cana,Standard,Todo incluido,Agencia online,43.0,5,4,2,0,120.99,0,0,No,2.0,Reembolsable,0
100178,44.0,Female,España,Palladium Punta Cana,Standard,Solo alojamiento,Teléfono,128.0,10,2,2,1,92.15,3,0,Sí,2.0,Sin depósito,0
